neuromere,bodyId,group_var,major_class,subclass_level1,morphology_cluster,morphology_cluster_id,legacy_tag,type,instance,class,subclass,hemilineage,somaNeuromere,somaSide,rootSide,longTract,birthtime
T2L,13910,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B081,IN04B081_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,17875,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B092,IN04B092_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,21471,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B108,IN04B108_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,21858,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B103,IN04B103_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,23150,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B106,IN04B106_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,19372,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B081,IN04B081_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,20441,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B081,IN04B081_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,21569,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B081,IN04B081_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,21607,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B103,IN04B103_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,21936,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B108,IN04B108_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,22173,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B104,IN04B104_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,162870,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B103,IN04B103_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,17543,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B104,IN04B104_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,22384,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B103,IN04B103_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,22908,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B097,IN04B097_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,22973,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B102,IN04B102_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,16623,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B089,IN04B089_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,20098,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B112,IN04B112_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,22214,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B109,IN04B109_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,25243,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B109,IN04B109_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,22714,ir_1_5_ids,IR,1,5,IR_1_5,04B,IN04B074,IN04B074_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,14496,ir_1_5_ids,IR,1,5,IR_1_5,04B,IN04B074,IN04B074_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,22322,ir_1_6_ids,IR,1,6,IR_1_6,04B,IN04B082,IN04B082_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,16092,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B031,IN04B031_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,16800,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B037,IN04B037_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,early secondary
T2L,17027,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B027,IN04B027_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,early secondary
T2L,18567,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B062,IN04B062_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,19404,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B062,IN04B062_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,secondary
T2L,15705,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B027,IN04B027_T2_L,intrinsic neuron,IR,04B,T2,LHS,,,early secondary
